strategy,corpus_size,k,mean_tokens,mean_cost_usd,mean_latency_ms,p95_latency_ms,recall_at_k,index_build_time_s,index_build_tokens,n_queries_evaluated
rag,10000,1,45.1,0.000135,1.1974,1.5167,0.5,0.0849,363002,60
rag,10000,3,111.8,0.000335,1.1949,1.4435,0.6,0.0879,363002,60
rag,10000,5,185.4,0.000556,1.1957,1.4849,0.7,0.0839,363002,60
rag,10000,10,380.4,0.001141,1.236,1.6422,0.7,0.1013,363002,60
rag,10000,20,771.5,0.002314,1.2004,1.5328,0.7,0.0838,363002,60
rag,10000,50,1873.2,0.005619,1.215,1.5445,0.7,0.0833,363002,60
